TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  1.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9958E+01  0.0000E+00  2.1436E+01  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E-01  1.4726E+01  2.4508E-01  4.7241E-02  1.4724E+01  4.9973E-02  1.4714E+01  2.5724E-01  4.9016E-02
  1.0000E+00  1.0000E+00  4.6506E+00 -2.5926E-01 -9.5027E-02  4.6450E+00 -9.8387E-02  4.5895E+00 -1.9816E-01 -3.9883E-02
  1.0000E+00  4.0000E+00  5.5991E-01 -4.3234E-02  2.9912E-02  5.5297E-01  9.3164E-02  7.3884E-01 -2.2216E-01 -3.7912E-01
  1.0000E+00  7.0000E+00  3.4727E-01 -5.5364E-02 -2.3249E-01  3.4632E-01 -3.4158E-01  4.1630E-01 -1.2439E-01 -2.4563E-01
  1.0000E+00  4.0000E+01  3.4157E-03  2.3919E-03  4.8737E-01  3.1556E-03  4.7062E-01  1.2509E-02 -6.7015E-03 -2.3826E-01
  2.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.7906E+01  0.0000E+00  2.1928E+01  0.0000E+00  0.0000E+00
  2.0000E+00  4.0000E-01  1.0916E+01 -4.1247E+00 -1.2325E+00  1.2063E+01 -1.5917E+00  1.0389E+01 -3.5972E+00 -1.0876E+00
  2.0000E+00  2.0000E+00  1.4761E+00  2.4509E+00  2.0241E+00  2.0672E+00  1.2820E+00  1.6954E+00  2.2316E+00  2.0106E+00
  2.0000E+00  1.0000E+01  2.2799E-01  3.4811E-01  1.0487E+00  2.0167E-01  3.8425E-01  2.7959E-01  2.9651E-01  2.0214E-01
  2.0000E+00  4.0000E+01  3.4157E-03  6.3929E-02  4.9898E+00 -7.9153E-02  8.7126E-01  1.4428E-02  5.2917E-02  1.1118E+00
  2.0000E+00  7.0000E+01  5.1174E-05  1.3078E-02  1.4399E+02 -2.9414E-02  1.4946E+00  1.5614E-03  1.1568E-02  1.4857E+00
  3.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9833E+01  0.0000E+00  2.1529E+01  0.0000E+00  0.0000E+00
  3.0000E+00  1.0000E-01  1.7136E+01 -6.3548E-01 -2.9753E-01  1.7113E+01 -2.6162E-01  1.7726E+01 -1.2248E+00 -3.7892E-01
  3.0000E+00  4.0000E-01  1.0916E+01  4.4099E+00  1.3519E+00  1.1043E+01  1.2739E+00  1.0440E+01  4.8855E+00  1.4897E+00
  3.0000E+00  7.0000E-01  7.0535E+00  5.8683E-01 -8.0635E-02  7.2010E+00 -1.9373E-01  6.5920E+00  1.0483E+00  2.8607E-02
  3.0000E+00  4.0000E+00  5.5991E-01 -1.6956E-01 -6.5068E-01  5.4434E-01 -8.1709E-01  6.6727E-01 -2.7692E-01 -7.9668E-01
  3.0000E+00  2.0000E+01  5.6203E-02 -2.1689E-02 -6.7413E-01  5.1079E-02 -8.5536E-01  7.9376E-02 -4.4862E-02 -5.5118E-01
  4.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9513E+01  0.0000E+00  2.1747E+01  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E-01  1.4726E+01 -2.9109E+00 -5.5070E-01  1.4951E+01 -7.1687E-01  1.4774E+01 -2.9586E+00 -6.3373E-01
  4.0000E+00  1.0000E+00  4.6506E+00  3.7137E+00  1.4993E+00  5.0775E+00  1.5067E+00  4.4557E+00  3.9086E+00  1.8060E+00
  4.0000E+00  4.0000E+00  5.5991E-01  5.3299E-01  1.0170E+00  3.7221E-01  5.3837E-01  7.0288E-01  3.9002E-01  3.0078E-01
  4.0000E+00  7.0000E+00  3.4727E-01  2.0876E-02 -1.6179E+00  3.0165E-01 -1.2691E+00  4.0174E-01 -3.3591E-02 -1.2483E+00
  4.0000E+00  4.0000E+01  3.4157E-03 -3.5568E-04 -6.0540E-01  3.1700E-03 -8.9855E-01  1.3157E-02 -1.0097E-02 -9.6913E-01
