TABLE NO.  4: MCMC Bayesian Analysis (No Prior): Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
       -10000  1.63417E+00  1.56045E+00  7.37175E-01  2.34407E+00  5.58326E-02  1.64110E-01 -5.85492E-03  1.35959E-01  8.02391E-03 -1.35935E-02  1.78587E-01 -1.75559E-02  1.49957E-02  3.40527E-02  1.68552E-01   -2556.0086732811501
        -9999  1.59865E+00  1.48901E+00  7.01431E-01  2.40201E+00  4.21580E-02  1.75611E-01 -4.97769E-02  1.10828E-01 -2.89399E-02 -6.58626E-03  1.22181E-01 -2.64919E-02  8.67955E-03  1.01334E-03  1.50507E-01   -2575.0306243916989
        -9998  1.66271E+00  1.50144E+00  7.94726E-01  2.32392E+00  4.62436E-02  1.67663E-01 -6.06723E-02  1.65366E-01  1.58499E-02 -3.74983E-02  1.19900E-01 -6.43786E-02  2.82587E-02 -1.66753E-02  1.54758E-01   -2557.9358954147247
        -9997  1.60885E+00  1.56266E+00  7.27447E-01  2.36451E+00  4.82639E-02  1.33994E-01 -3.74280E-02  1.53854E-01  7.23853E-03 -1.30303E-02  1.14768E-01 -3.37540E-02  4.73225E-02 -1.80406E-02  1.33300E-01   -2567.8093458864982
        -9996  1.65920E+00  1.50489E+00  8.68756E-01  2.32410E+00  4.17196E-02  1.45741E-01 -3.14830E-02  1.26501E-01 -5.11690E-03 -2.60498E-02  1.51995E-01 -2.47648E-02 -7.83658E-03  2.58812E-02  1.51193E-01   -2535.4930403886628
        -9995  1.68408E+00  1.44391E+00  7.97326E-01  2.38100E+00  4.55685E-02  1.19601E-01 -3.31262E-02  1.26429E-01 -3.37470E-03 -3.23849E-02  1.60289E-01 -2.83472E-02 -1.27964E-03  4.78783E-03  1.19675E-01   -2505.5141859503992
        -9994  1.58821E+00  1.55321E+00  7.94750E-01  2.33130E+00  4.82269E-02  1.81098E-01 -4.38765E-02  1.25175E-01 -1.17200E-02 -1.87666E-02  1.55425E-01 -6.62233E-02  1.17102E-02  4.03586E-03  1.46381E-01   -2506.1669656272679
        -9993  1.67683E+00  1.52573E+00  8.26837E-01  2.32305E+00  4.11427E-02  1.71248E-01 -2.49472E-02  1.45593E-01 -4.11997E-02 -2.68272E-02  1.49591E-01  2.19076E-03 -3.57498E-02  7.22128E-03  1.18908E-01   -2482.6764448293980
        -9992  1.67057E+00  1.53369E+00  6.86852E-01  2.26524E+00  4.38973E-02  1.68872E-01 -5.27345E-03  1.17399E-01 -1.16262E-02 -1.15530E-02  1.21374E-01 -1.63781E-03 -2.41768E-02  3.59853E-02  1.44995E-01   -2507.9734625493170
        -9991  1.61431E+00  1.57880E+00  7.90612E-01  2.28810E+00  4.13709E-02  1.73545E-01 -1.05115E-02  1.09297E-01 -2.24521E-02 -2.63034E-02  1.27498E-01  1.97001E-02 -6.91256E-03  5.73726E-03  1.45638E-01   -2458.5811325622135
        -9990  1.65395E+00  1.63042E+00  7.22479E-01  2.32982E+00  5.35882E-02  2.21847E-01  6.98829E-03  1.17624E-01  5.51414E-03 -2.99062E-02  9.42326E-02 -3.98800E-02  2.26609E-03  2.93266E-03  1.37768E-01   -2456.5750101416261
        -9989  1.55573E+00  1.54407E+00  6.87307E-01  2.29936E+00  4.95121E-02  1.82533E-01 -2.85935E-02  1.14135E-01  8.72280E-03 -2.93475E-02  1.42594E-01 -3.87618E-02 -5.45136E-03  2.63710E-02  2.03880E-01   -2448.8522662486162
        -9988  1.66258E+00  1.57038E+00  7.49137E-01  2.30758E+00  5.44306E-02  1.57127E-01 -3.81494E-02  1.50464E-01  1.79581E-03 -4.49222E-02  1.13705E-01 -2.06314E-02 -1.30614E-02  3.66017E-03  1.60270E-01   -2473.0960664875283
        -9987  1.64276E+00  1.56053E+00  6.76157E-01  2.32023E+00  4.94287E-02  1.90389E-01 -3.19361E-02  1.07178E-01 -2.64090E-02 -4.25590E-02  1.48260E-01 -2.72080E-02  6.14415E-03 -1.99455E-02  1.38642E-01   -2482.6297208020437
        -9986  1.62428E+00  1.52206E+00  7.40854E-01  2.30907E+00  4.64239E-02  1.71173E-01 -3.34723E-02  1.56544E-01 -1.30161E-02 -7.26742E-02  1.21506E-01 -3.53208E-02  1.28470E-03  3.23156E-03  1.48600E-01   -2489.8847688644091
        -9985  1.63089E+00  1.49751E+00  7.40642E-01  2.36709E+00  5.00712E-02  1.69396E-01 -1.71118E-03  1.40361E-01  3.88857E-03 -3.86198E-02  1.02871E-01 -2.56412E-02 -2.06799E-02  1.70507E-02  1.41656E-01   -2503.6492906044027
        -9984  1.61751E+00  1.50791E+00  7.28219E-01  2.35223E+00  5.09552E-02  1.55005E-01 -2.25418E-02  1.55580E-01  1.29551E-02 -1.78591E-02  9.40693E-02 -8.87321E-03 -2.19079E-02  2.34437E-02  1.54968E-01   -2456.2979440346803
        -9983  1.55614E+00  1.53116E+00  6.95285E-01  2.24094E+00  5.35920E-02  1.66432E-01 -2.12215E-02  1.45306E-01  2.55233E-02 -3.56064E-02  1.04820E-01 -4.11307E-03  4.87852E-03  1.15014E-02  1.81181E-01   -2394.4679510921733
        -9982  1.61881E+00  1.61315E+00  6.29319E-01  2.37675E+00  4.93601E-02  2.28913E-01  2.84877E-03  1.87929E-01  4.50265E-02 -7.07307E-02  1.79738E-01 -6.63019E-03 -2.23803E-02  7.90576E-03  1.42846E-01   -2384.4748460875571
        -9981  1.59194E+00  1.60923E+00  6.29132E-01  2.27372E+00  5.51720E-02  1.62413E-01  3.08161E-02  1.48149E-01  1.09480E-02 -2.25073E-02  1.16061E-01 -1.24229E-02  6.93805E-03  6.24347E-04  1.33161E-01   -2419.4293197786938
        -9980  1.63273E+00  1.59109E+00  7.35938E-01  2.36993E+00  5.08482E-02  2.16478E-01  2.92520E-02  1.47567E-01  1.13249E-03 -3.58897E-02  1.21648E-01 -1.65097E-02 -5.96120E-03  1.15560E-02  1.57212E-01   -2449.8829892543658
        -9979  1.69943E+00  1.55622E+00  7.68187E-01  2.36740E+00  5.10207E-02  1.72305E-01  2.28646E-03  1.54710E-01  1.41065E-02 -5.12073E-02  1.30131E-01  2.30425E-02 -2.74262E-02  1.47929E-02  1.67250E-01   -2434.1942446130479
        -9978  1.65480E+00  1.55681E+00  7.82603E-01  2.38761E+00  5.26782E-02  1.75241E-01  1.24595E-02  1.40120E-01 -8.56908E-03  5.20372E-03  1.37967E-01 -3.07130E-02 -1.37067E-02  3.27962E-02  1.66016E-01   -2352.0661305576059
        -9977  1.63670E+00  1.60317E+00  7.21873E-01  2.33916E+00  5.39555E-02  1.43984E-01  2.14663E-02  1.60727E-01  6.25829E-03 -4.19391E-02  1.23949E-01 -3.50550E-02 -1.85288E-02  1.74902E-02  1.62905E-01   -2393.4261267100173
        -9976  1.64651E+00  1.52784E+00  7.21736E-01  2.28712E+00  5.75109E-02  1.31800E-01  3.17286E-03  1.03488E-01  1.09001E-02 -2.09867E-02  1.65270E-01  5.95852E-03  3.05839E-04  1.83386E-02  1.51272E-01   -2429.4547249364036
        -9975  1.62760E+00  1.51716E+00  6.96796E-01  2.33381E+00  5.27931E-02  1.67053E-01  6.25606E-03  9.63944E-02  1.88411E-02 -9.51540E-03  1.14828E-01  1.72557E-03 -1.38421E-02  2.54077E-02  1.47461E-01   -2385.3869812428002
        -9974  1.63816E+00  1.50642E+00  7.18301E-01  2.34945E+00  5.71833E-02  1.81433E-01  6.87856E-03  1.44549E-01  1.42446E-02 -2.65547E-02  1.09135E-01 -1.69365E-02  2.44833E-02  3.02496E-02  1.83353E-01   -2401.5593808429280
        -9973  1.65576E+00  1.56051E+00  6.89336E-01  2.33780E+00  5.22841E-02  1.73517E-01  1.02846E-02  1.68377E-01  4.83260E-02 -2.53092E-02  1.49758E-01  3.36018E-03  9.30334E-03 -6.59717E-03  1.29639E-01   -2384.3641952206776
        -9972  1.74873E+00  1.52204E+00  7.31766E-01  2.34056E+00  5.95902E-02  1.65761E-01 -7.06501E-03  1.42284E-01  1.95735E-02 -3.76556E-02  1.34905E-01 -3.17335E-02 -8.22994E-03  9.69843E-03  1.76736E-01   -2371.3149032559181
        -9971  1.59252E+00  1.52894E+00  6.87016E-01  2.34735E+00  5.68941E-02  1.57984E-01 -2.73411E-02  1.77524E-01 -1.56907E-03 -4.12631E-02  1.43278E-01 -2.60518E-02  2.21752E-02  1.70291E-02  1.95637E-01   -2377.8135049695979
        -9970  1.66426E+00  1.55374E+00  7.43776E-01  2.38950E+00  6.07614E-02  1.68630E-01  4.13048E-03  1.55433E-01  1.98626E-02 -5.45722E-02  1.39698E-01  6.40334E-03 -2.73081E-02  2.65901E-02  1.57440E-01   -2360.8035015682149
        -9969  1.64598E+00  1.50774E+00  7.63368E-01  2.37885E+00  6.06491E-02  2.15358E-01  9.60135E-03  1.18731E-01 -2.34132E-02 -1.06759E-02  1.28659E-01 -3.94749E-02  2.61926E-03  3.77109E-02  1.78425E-01   -2378.8148344860379
        -9968  1.64856E+00  1.56721E+00  7.05410E-01  2.28740E+00  5.13058E-02  1.66722E-01  6.74724E-03  1.42197E-01 -1.62550E-02 -9.94427E-03  1.54195E-01 -2.62195E-02  1.85051E-02 -1.40590E-02  1.58353E-01   -2360.4059418720863
        -9967  1.69055E+00  1.48891E+00  6.92501E-01  2.31566E+00  5.62788E-02  1.60711E-01  2.16977E-02  1.36521E-01 -2.25866E-02  2.18973E-02  1.57481E-01 -3.36175E-02  3.43972E-02  2.26181E-02  1.24908E-01   -2363.6841732020221
        -9966  1.73274E+00  1.58235E+00  6.80458E-01  2.32699E+00  6.02199E-02  1.75987E-01  3.64604E-03  1.32622E-01 -1.42971E-02 -6.19912E-03  2.22538E-01 -5.07328E-02 -5.93376E-03  3.47568E-02  1.51312E-01   -2344.7217642965652
