TABLE NO.  1
 ID          TIME        DV          PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  1.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9958E+01  0.0000E+00  2.1437E+01  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E-01  1.4971E+01  1.4726E+01  2.4453E-01  4.7138E-02  1.4724E+01  4.9868E-02  1.4714E+01  2.5673E-01  4.8926E-02
  1.0000E+00  1.0000E+00  4.3913E+00  4.6510E+00 -2.5971E-01 -9.5208E-02  4.6455E+00 -9.8574E-02  4.5898E+00 -1.9852E-01 -4.0030E-02
  1.0000E+00  4.0000E+00  5.1668E-01  5.5993E-01 -4.3250E-02  2.9949E-02  5.5299E-01  9.3196E-02  7.3888E-01 -2.2220E-01 -3.7912E-01
  1.0000E+00  7.0000E+00  2.9191E-01  3.4728E-01 -5.5366E-02 -2.3238E-01  3.4632E-01 -3.4146E-01  4.1630E-01 -1.2439E-01 -2.4557E-01
  1.0000E+00  4.0000E+01  5.8076E-03  3.4156E-03  2.3920E-03  4.8751E-01  3.1554E-03  4.7078E-01  1.2509E-02 -6.7015E-03 -2.3817E-01
  2.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.7905E+01  0.0000E+00  2.1929E+01  0.0000E+00  0.0000E+00
  2.0000E+00  4.0000E-01  6.7914E+00  1.0917E+01 -4.1253E+00 -1.2326E+00  1.2064E+01 -1.5919E+00  1.0389E+01 -3.5977E+00 -1.0877E+00
  2.0000E+00  2.0000E+00  3.9270E+00  1.4763E+00  2.4507E+00  2.0236E+00  2.0680E+00  1.2816E+00  1.6956E+00  2.2314E+00  2.0103E+00
  2.0000E+00  1.0000E+01  5.7610E-01  2.2799E-01  3.4811E-01  1.0491E+00  2.0162E-01  3.8440E-01  2.7959E-01  2.9651E-01  2.0232E-01
  2.0000E+00  4.0000E+01  6.7345E-02  3.4156E-03  6.3929E-02  4.9901E+00 -7.9153E-02  8.7142E-01  1.4428E-02  5.2917E-02  1.1118E+00
  2.0000E+00  7.0000E+01  1.3129E-02  5.1172E-05  1.3078E-02  1.4399E+02 -2.9415E-02  1.4946E+00  1.5615E-03  1.1568E-02  1.4855E+00
  3.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9833E+01  0.0000E+00  2.1530E+01  0.0000E+00  0.0000E+00
  3.0000E+00  1.0000E-01  1.6501E+01  1.7137E+01 -6.3596E-01 -2.9757E-01  1.7113E+01 -2.6165E-01  1.7726E+01 -1.2253E+00 -3.7895E-01
  3.0000E+00  4.0000E-01  1.5326E+01  1.0917E+01  4.4093E+00  1.3517E+00  1.1044E+01  1.2737E+00  1.0441E+01  4.8850E+00  1.4895E+00
  3.0000E+00  7.0000E-01  7.6403E+00  7.0540E+00  5.8628E-01 -8.0742E-02  7.2015E+00 -1.9383E-01  6.5924E+00  1.0479E+00  2.8517E-02
  3.0000E+00  4.0000E+00  3.9035E-01  5.5993E-01 -1.6958E-01 -6.5064E-01  5.4435E-01 -8.1705E-01  6.6730E-01 -2.7695E-01 -7.9665E-01
  3.0000E+00  2.0000E+01  3.4514E-02  5.6203E-02 -2.1689E-02 -6.7396E-01  5.1079E-02 -8.5518E-01  7.9376E-02 -4.4862E-02 -5.5109E-01
  4.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9513E+01  0.0000E+00  2.1748E+01  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E-01  1.1815E+01  1.4726E+01 -2.9115E+00 -5.5073E-01  1.4951E+01 -7.1693E-01  1.4774E+01 -2.9592E+00 -6.3377E-01
  4.0000E+00  1.0000E+00  8.3643E+00  4.6510E+00  3.7133E+00  1.4990E+00  5.0781E+00  1.5065E+00  4.4561E+00  3.9082E+00  1.8058E+00
  4.0000E+00  4.0000E+00  1.0929E+00  5.5993E-01  5.3297E-01  1.0169E+00  3.7220E-01  5.3832E-01  7.0292E-01  3.8998E-01  3.0070E-01
  4.0000E+00  7.0000E+00  3.6815E-01  3.4728E-01  2.0874E-02 -1.6177E+00  3.0164E-01 -1.2689E+00  4.0175E-01 -3.3597E-02 -1.2482E+00
  4.0000E+00  4.0000E+01  3.0600E-03  3.4156E-03 -3.5560E-04 -6.0533E-01  3.1699E-03 -8.9853E-01  1.3157E-02 -1.0097E-02 -9.6908E-01
  5.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9475E+01  0.0000E+00  2.0496E+01  0.0000E+00  0.0000E+00
  5.0000E+00  4.0000E-01  7.7053E+00  1.0917E+01 -3.2114E+00 -8.2432E-01  1.0889E+01 -1.0433E+00  1.0233E+01 -2.5279E+00 -6.6918E-01
  5.0000E+00  2.0000E+00  8.9397E-01  1.4763E+00 -5.8229E-01 -2.5238E-01  1.3580E+00 -1.5879E-01  1.6987E+00 -8.0472E-01 -5.8511E-01
  5.0000E+00  1.0000E+01  5.9985E-02  2.2799E-01 -1.6800E-01 -6.3309E-01  1.6611E-01 -1.6532E+00  2.4908E-01 -1.8910E-01 -5.8156E-01
  5.0000E+00  4.0000E+01  3.7841E-03  3.4156E-03  3.6850E-04  7.2573E-01  3.5177E-03  6.2429E-01  1.0924E-02 -7.1400E-03  3.0494E-01
